time,consumption
2018-08-25 00:00:00,2.63
2018-08-25 01:00:00,4.15
2018-08-25 02:00:00,4.91
2018-08-25 03:00:00,5.15
2018-08-25 04:00:00,4.87
2018-08-25 05:00:00,4.21
2018-08-25 06:00:00,2.14
2018-08-25 07:00:00,1.44
2018-08-25 08:00:00,0.84
2018-08-25 09:00:00,1.08
2018-08-25 10:00:00,1.76
2018-08-25 11:00:00,2.93
2018-08-25 12:00:00,3.24
2018-08-25 13:00:00,6.43
2018-08-25 14:00:00,3.43
2018-08-25 15:00:00,3.12
2018-08-25 16:00:00,3.07
2018-08-25 17:00:00,3.03
2018-08-25 18:00:00,2.99
2018-08-25 19:00:00,6.05
2018-08-25 20:00:00,6.56
2018-08-25 21:00:00,4.13
2018-08-25 22:00:00,3.06
2018-08-25 23:00:00,2.82
2018-08-26 00:00:00,2.33
2018-08-26 01:00:00,1.93
2018-08-26 02:00:00,1.69
2018-08-26 03:00:00,1.07
2018-08-26 04:00:00,1.69
2018-08-26 05:00:00,3.18
2018-08-26 06:00:00,2.18
2018-08-26 07:00:00,1.23
2018-08-26 08:00:00,1.58
2018-08-26 09:00:00,1.93
2018-08-26 10:00:00,2.12
2018-08-26 11:00:00,3.33
2018-08-26 12:00:00,2.36
2018-08-26 13:00:00,3.0
2018-08-26 14:00:00,2.14
2018-08-26 15:00:00,2.63
2018-08-26 16:00:00,3.06
2018-08-26 17:00:00,3.05
2018-08-26 18:00:00,3.3
2018-08-26 19:00:00,3.28
2018-08-26 20:00:00,3.52
2018-08-26 21:00:00,3.15
2018-08-26 22:00:00,2.93
2018-08-26 23:00:00,2.21
2018-08-27 00:00:00,1.8
2018-08-27 01:00:00,1.82
2018-08-27 02:00:00,3.34
2018-08-27 03:00:00,4.43
2018-08-27 04:00:00,4.33
2018-08-27 05:00:00,3.98
2018-08-27 06:00:00,1.59
2018-08-27 07:00:00,1.71
2018-08-27 08:00:00,0.69
2018-08-27 09:00:00,1.31
2018-08-27 10:00:00,3.02
2018-08-27 11:00:00,3.01
2018-08-27 12:00:00,2.58
2018-08-27 13:00:00,3.08
2018-08-27 14:00:00,3.43
2018-08-27 15:00:00,3.75
2018-08-27 16:00:00,3.47
2018-08-27 17:00:00,3.28
