time,generation
2018-08-25 00:00:00,0.0
2018-08-25 01:00:00,0.0
2018-08-25 02:00:00,0.01
2018-08-25 03:00:00,0.01
2018-08-25 04:00:00,0.01
2018-08-25 05:00:00,0.0
2018-08-25 06:00:00,0.01
2018-08-25 07:00:00,0.09
2018-08-25 08:00:00,0.41
2018-08-25 09:00:00,1.24
2018-08-25 10:00:00,3.02
2018-08-25 11:00:00,3.74
2018-08-25 12:00:00,3.73
2018-08-25 13:00:00,3.97
2018-08-25 14:00:00,3.96
2018-08-25 15:00:00,3.07
2018-08-25 16:00:00,2.26
2018-08-25 17:00:00,1.48
2018-08-25 18:00:00,0.47
2018-08-25 19:00:00,0.1
2018-08-25 20:00:00,0.01
2018-08-25 21:00:00,0.0
2018-08-25 22:00:00,0.0
2018-08-25 23:00:00,0.0
2018-08-26 00:00:00,0.0
2018-08-26 01:00:00,0.0
2018-08-26 02:00:00,0.0
2018-08-26 03:00:00,0.01
2018-08-26 04:00:00,0.0
2018-08-26 05:00:00,0.0
2018-08-26 06:00:00,0.01
2018-08-26 07:00:00,0.03
2018-08-26 08:00:00,0.5
2018-08-26 09:00:00,1.33
2018-08-26 10:00:00,2.37
2018-08-26 11:00:00,3.23
2018-08-26 12:00:00,3.78
2018-08-26 13:00:00,3.65
2018-08-26 14:00:00,3.45
2018-08-26 15:00:00,3.02
2018-08-26 16:00:00,2.79
2018-08-26 17:00:00,1.37
2018-08-26 18:00:00,0.44
2018-08-26 19:00:00,0.06
2018-08-26 20:00:00,0.0
2018-08-26 21:00:00,0.0
2018-08-26 22:00:00,0.0
2018-08-26 23:00:00,0.0
2018-08-27 00:00:00,0.0
2018-08-27 01:00:00,0.0
2018-08-27 02:00:00,0.0
2018-08-27 03:00:00,0.0
2018-08-27 04:00:00,0.0
2018-08-27 05:00:00,0.0
2018-08-27 06:00:00,0.01
2018-08-27 07:00:00,0.06
2018-08-27 08:00:00,0.79
2018-08-27 09:00:00,1.67
2018-08-27 10:00:00,2.14
2018-08-27 11:00:00,3.64
2018-08-27 12:00:00,4.14
2018-08-27 13:00:00,3.64
2018-08-27 14:00:00,3.19
2018-08-27 15:00:00,3.46
2018-08-27 16:00:00,2.46
2018-08-27 17:00:00,1.68
2018-08-27 18:00:00,0.55
2018-08-27 19:00:00,0.1
2018-08-27 20:00:00,0.0
2018-08-27 21:00:00,0.0
2018-08-27 22:00:00,0.0
2018-08-27 23:00:00,0.0
2018-08-28 00:00:00,0.0
2018-08-28 01:00:00,0.0
2018-08-28 02:00:00,0.0
2018-08-28 03:00:00,0.0
2018-08-28 04:00:00,0.0
2018-08-28 05:00:00,0.0
2018-08-28 06:00:00,0.01
2018-08-28 07:00:00,0.05
2018-08-28 08:00:00,0.62
2018-08-28 09:00:00,1.07
2018-08-28 10:00:00,2.48
2018-08-28 11:00:00,3.16
2018-08-28 12:00:00,3.98
2018-08-28 13:00:00,4.26
2018-08-28 14:00:00,4.09
2018-08-28 15:00:00,3.6
2018-08-28 16:00:00,2.52
2018-08-28 17:00:00,1.91
2018-08-28 18:00:00,0.76
2018-08-28 19:00:00,0.18
2018-08-28 20:00:00,0.01
2018-08-28 21:00:00,0.0
2018-08-28 22:00:00,0.0
2018-08-28 23:00:00,0.0
2018-08-29 00:00:00,0.0
2018-08-29 01:00:00,0.0
2018-08-29 02:00:00,0.0
2018-08-29 03:00:00,0.0
2018-08-29 04:00:00,0.01
2018-08-29 05:00:00,0.0
2018-08-29 06:00:00,0.01
2018-08-29 07:00:00,0.06
2018-08-29 08:00:00,0.7
2018-08-29 09:00:00,1.76
2018-08-29 10:00:00,2.76
2018-08-29 11:00:00,3.58
2018-08-29 12:00:00,3.99
2018-08-29 13:00:00,3.86
2018-08-29 14:00:00,3.56
2018-08-29 15:00:00,2.95
2018-08-29 16:00:00,2.57
2018-08-29 17:00:00,1.76
2018-08-29 18:00:00,0.71
2018-08-29 19:00:00,0.06
2018-08-29 20:00:00,0.0
2018-08-29 21:00:00,0.0
2018-08-29 22:00:00,0.0
2018-08-29 23:00:00,0.0
2018-08-30 00:00:00,0.0
2018-08-30 01:00:00,0.0
2018-08-30 02:00:00,0.01
2018-08-30 03:00:00,0.0
2018-08-30 04:00:00,0.0
2018-08-30 05:00:00,0.0
2018-08-30 06:00:00,0.01
2018-08-30 07:00:00,0.04
2018-08-30 08:00:00,0.71
2018-08-30 09:00:00,1.19
2018-08-30 10:00:00,1.8
